,path,class
0,/opt/ml/pang/solid_waste/new/plastic/plastic675.jpg,0
1,/opt/ml/pang/solid_waste/new/plastic/plastic161.jpg,0
2,/opt/ml/pang/solid_waste/new/plastic/plastic73.jpg,0
3,/opt/ml/pang/solid_waste/new/plastic/plastic623.jpg,0
4,/opt/ml/pang/solid_waste/new/plastic/plastic357.jpg,0
5,/opt/ml/pang/solid_waste/new/plastic/plastic60.jpg,0
6,/opt/ml/pang/solid_waste/new/plastic/plastic698.jpg,0
7,/opt/ml/pang/solid_waste/new/plastic/plastic131.jpg,0
8,/opt/ml/pang/solid_waste/new/plastic/plastic754.jpg,0
9,/opt/ml/pang/solid_waste/new/plastic/plastic574.jpg,0
10,/opt/ml/pang/solid_waste/new/plastic/plastic305.jpg,0
11,/opt/ml/pang/solid_waste/new/plastic/plastic300.jpg,0
12,/opt/ml/pang/solid_waste/new/plastic/plastic45.jpg,0
13,/opt/ml/pang/solid_waste/new/plastic/plastic376.jpg,0
14,/opt/ml/pang/solid_waste/new/plastic/plastic49.jpg,0
15,/opt/ml/pang/solid_waste/new/plastic/plastic212.jpg,0
16,/opt/ml/pang/solid_waste/new/plastic/plastic749.jpg,0
17,/opt/ml/pang/solid_waste/new/plastic/plastic830.jpg,0
18,/opt/ml/pang/solid_waste/new/plastic/plastic411.jpg,0
19,/opt/ml/pang/solid_waste/new/plastic/plastic703.jpg,0
20,/opt/ml/pang/solid_waste/new/plastic/plastic690.jpg,0
21,/opt/ml/pang/solid_waste/new/plastic/plastic776.jpg,0
22,/opt/ml/pang/solid_waste/new/plastic/plastic606.jpg,0
23,/opt/ml/pang/solid_waste/new/plastic/plastic695.jpg,0
24,/opt/ml/pang/solid_waste/new/plastic/plastic154.jpg,0
25,/opt/ml/pang/solid_waste/new/plastic/plastic133.jpg,0
26,/opt/ml/pang/solid_waste/new/plastic/plastic435.jpg,0
27,/opt/ml/pang/solid_waste/new/plastic/plastic383.jpg,0
